frame,lat,lon,alt
910,0.00016387,-0.00092559,2.053
915,0.00017884,-0.00092542,2.031
919,0.00018184,-0.00092539,2.026
923,0.00018184,-0.00092539,2.026
927,0.00018184,-0.00092539,2.026
931,0.00018184,-0.00092539,2.026
935,0.00018184,-0.00092539,2.026
939,0.00018184,-0.00092539,2.026
943,0.00018783,-0.00092532,2.017
947,0.00019381,-0.00092525,2.008
951,0.00019980,-0.00092517,2.004
955,0.00020578,-0.00092491,2.003
959,0.00021775,-0.00092439,2.000
963,0.00022968,-0.00092329,2.000
967,0.00024159,-0.00092204,2.000
971,0.00025342,-0.00092018,2.000
975,0.00026519,-0.00091796,2.000
979,0.00027691,-0.00091552,2.000
983,0.00028850,-0.00091250,2.000
987,0.00030005,-0.00090932,2.000
991,0.00031142,-0.00090556,2.000
995,0.00032267,-0.00090145,2.000
999,0.00033384,-0.00089713,2.000
1003,0.00034478,-0.00089226,2.000
1007,0.00035559,-0.00088711,2.000
1011,0.00036625,-0.00088163,2.000
1015,0.00037669,-0.00087577,2.000
1019,0.00038701,-0.00086970,2.000
1023,0.00039701,-0.00086311,2.000
1027,0.00040684,-0.00085627,2.000
1031,0.00041645,-0.00084913,2.000
1035,0.00042580,-0.00084164,2.000
1039,0.00043498,-0.00083394,2.000
1043,0.00044363,-0.00082566,2.000
1047,0.00045199,-0.00081709,2.000
1051,0.00045998,-0.00080816,2.000
1055,0.00046742,-0.00079878,2.000
1059,0.00047387,-0.00079036,2.000
1063,0.00047847,-0.00078345,2.000
1067,0.00048245,-0.00077748,2.000
1071,0.00048554,-0.00077235,2.000
1075,0.00048841,-0.00076730,2.000
1079,0.00049116,-0.00076245,2.000
1083,0.00049380,-0.00075759,2.000
1087,0.00049615,-0.00075265,2.000
1091,0.00049847,-0.00074776,2.000
1095,0.00049962,-0.00074533,2.000
1099,0.00049962,-0.00074533,2.000
1103,0.00049962,-0.00074533,2.000
1107,0.00049962,-0.00074533,2.000
1111,0.00049962,-0.00074533,2.000
1115,0.00049962,-0.00074533,2.000
1119,0.00049962,-0.00074533,2.000
1123,0.00049962,-0.00074533,2.000
1127,0.00049962,-0.00074533,2.000
1131,0.00049962,-0.00074533,2.000
1135,0.00049962,-0.00074533,2.000
1139,0.00049962,-0.00074533,2.000
1143,0.00049962,-0.00074533,2.000
1147,0.00049962,-0.00074533,2.000
1151,0.00049962,-0.00074533,2.000
1155,0.00049962,-0.00074533,2.000
1159,0.00049962,-0.00074533,2.000
1163,0.00049962,-0.00074533,2.000
1167,0.00049962,-0.00074533,2.000
1171,0.00049962,-0.00074533,2.000
1175,0.00049962,-0.00074533,2.000
1179,0.00049962,-0.00074533,2.000
1183,0.00049962,-0.00074533,2.000
1187,0.00049962,-0.00074533,2.000
1191,0.00049962,-0.00074533,2.000
1195,0.00049962,-0.00074533,2.000
1199,0.00049962,-0.00074533,2.000
1203,0.00049962,-0.00074533,2.000
1207,0.00050182,-0.00074048,2.000
1211,0.00050182,-0.00074048,2.000
1215,0.00050182,-0.00074048,2.000
1219,0.00050182,-0.00074048,2.000
1223,0.00050182,-0.00074048,2.000
1227,0.00050182,-0.00074048,2.000
1231,0.00050182,-0.00074048,2.000
1235,0.00050182,-0.00074048,2.000
1239,0.00050182,-0.00074048,2.000
1243,0.00050279,-0.00073802,2.000
1247,0.00050374,-0.00073557,2.000
1251,0.00050469,-0.00073313,2.000
1255,0.00050658,-0.00072829,2.000
1259,0.00050836,-0.00072347,2.000
1263,0.00050988,-0.00071861,2.000
1267,0.00051138,-0.00071381,2.000
1271,0.00051287,-0.00070906,2.000
1275,0.00051425,-0.00070433,2.000
1279,0.00051534,-0.00069958,2.000
1283,0.00051643,-0.00069488,2.000
1287,0.00051849,-0.00068561,2.000
1291,0.00051992,-0.00067642,2.000
1295,0.00052125,-0.00066742,2.000
1299,0.00052200,-0.00065854,2.000
1303,0.00052274,-0.00064985,2.000
1307,0.00052284,-0.00064132,2.000
1311,0.00052283,-0.00063297,2.000
1315,0.00052282,-0.00062479,2.000
1319,0.00052281,-0.00061679,2.000
1323,0.00052281,-0.00060896,2.000
1327,0.00052272,-0.00060020,2.000
1331,0.00052260,-0.00058822,2.000
1335,0.00052248,-0.00057624,2.000
1339,0.00052236,-0.00056427,2.000
1343,0.00052223,-0.00055229,2.000
1347,0.00052211,-0.00054031,2.000
1351,0.00052198,-0.00052834,2.000
1355,0.00052186,-0.00051636,2.000
1359,0.00052173,-0.00050438,2.000
1363,0.00052161,-0.00049241,2.000
1367,0.00052148,-0.00048043,2.000
1371,0.00052136,-0.00046845,2.000
1375,0.00052123,-0.00045647,2.000
1379,0.00052111,-0.00044450,2.000
1383,0.00052098,-0.00043252,2.000
1387,0.00052086,-0.00042054,2.000
1391,0.00052074,-0.00040857,2.000
1395,0.00052061,-0.00039659,2.000
1399,0.00052049,-0.00038461,2.000
1403,0.00052036,-0.00037264,2.000
1407,0.00052024,-0.00036066,2.000
1411,0.00052011,-0.00034868,2.000
1415,0.00051999,-0.00033670,2.000
1419,0.00051986,-0.00032473,2.000
1423,0.00051974,-0.00031275,2.000
1427,0.00051961,-0.00030077,2.000
1431,0.00051949,-0.00028880,2.000
1435,0.00051936,-0.00027682,2.000
1439,0.00051924,-0.00026484,2.000
1443,0.00051911,-0.00025287,2.000
1447,0.00051899,-0.00024089,2.000
1451,0.00051886,-0.00022891,2.000
1455,0.00051874,-0.00021693,2.000
1459,0.00051861,-0.00020496,2.000
1463,0.00051849,-0.00019298,2.000
1467,0.00051837,-0.00018100,2.000
1471,0.00051824,-0.00016903,2.000
1475,0.00051812,-0.00015705,2.000
1479,0.00051799,-0.00014507,2.000
1483,0.00051787,-0.00013310,2.000
1487,0.00051774,-0.00012112,2.000
1491,0.00051762,-0.00010914,2.000
1495,0.00051749,-0.00009717,2.000
1499,0.00051737,-0.00008519,2.000
1503,0.00051724,-0.00007321,2.000
1507,0.00051711,-0.00006124,2.000
1511,0.00051698,-0.00004926,2.000
1515,0.00051685,-0.00003728,2.000
1519,0.00051672,-0.00002531,2.000
1523,0.00051654,-0.00001333,2.000
1527,0.00051635,-0.00000135,2.000
1531,0.00051616,0.00001062,2.000
1535,0.00051597,0.00002260,2.000
1539,0.00051588,0.00003458,2.000
1543,0.00051579,0.00004655,2.000
1547,0.00051569,0.00005853,2.000
1551,0.00051565,0.00007051,2.000
1555,0.00051565,0.00008249,2.000
1559,0.00051565,0.00009446,2.000
1563,0.00051565,0.00010644,2.000
1567,0.00051566,0.00011842,2.000
1571,0.00051566,0.00013040,2.000
1575,0.00051566,0.00014237,2.000
1579,0.00051567,0.00015435,2.000
1583,0.00051567,0.00016633,2.000
1587,0.00051568,0.00017831,2.000
1591,0.00051568,0.00019028,2.000
1595,0.00051569,0.00020226,2.000
1599,0.00051569,0.00021424,2.000
1603,0.00051570,0.00022622,2.000
1607,0.00051570,0.00023819,2.000
1611,0.00051571,0.00025017,2.000
1615,0.00051571,0.00026215,2.000
1619,0.00051572,0.00027413,2.000
1623,0.00051572,0.00028610,2.000
1627,0.00051573,0.00029808,2.000
1631,0.00051573,0.00031006,2.000
1635,0.00051574,0.00032204,2.000
1639,0.00051574,0.00033401,2.000
1643,0.00051575,0.00034599,2.000
1647,0.00051575,0.00035797,2.000
1651,0.00051576,0.00036995,2.000
1655,0.00051576,0.00038192,2.000
1659,0.00051577,0.00039390,2.000
1663,0.00051577,0.00040588,2.000
1667,0.00051578,0.00041786,2.000
1671,0.00051578,0.00042983,2.000
1675,0.00051579,0.00044181,2.000
1679,0.00051579,0.00045379,2.000
1683,0.00051580,0.00046577,2.000
1687,0.00051580,0.00047774,2.000
1691,0.00051581,0.00048972,2.000
1695,0.00051581,0.00050170,2.000
1699,0.00051582,0.00051368,2.000
1703,0.00051582,0.00052565,2.000
1707,0.00051583,0.00053763,2.000
1711,0.00051583,0.00054961,2.000
1715,0.00051584,0.00056159,2.000
1719,0.00051571,0.00057356,2.000
1723,0.00051553,0.00058554,2.000
1727,0.00051536,0.00059751,2.000
1731,0.00051482,0.00060947,2.000
1735,0.00051376,0.00062140,2.000
1739,0.00051217,0.00063327,2.000
1743,0.00051018,0.00064508,2.000
1747,0.00050759,0.00065677,2.000
1751,0.00050469,0.00066839,2.000
1755,0.00050131,0.00067988,2.000
1759,0.00049734,0.00069118,2.000
1763,0.00049319,0.00070242,2.000
1767,0.00048839,0.00071339,2.000
1771,0.00048318,0.00072417,2.000
1775,0.00047773,0.00073484,2.000
1779,0.00047166,0.00074516,2.000
1783,0.00046528,0.00075529,2.000
1787,0.00045853,0.00076518,2.000
1791,0.00045136,0.00077478,2.000
1795,0.00044388,0.00078413,2.000
1799,0.00043593,0.00079309,2.000
1803,0.00042776,0.00080184,2.000
1807,0.00041922,0.00081024,2.000
1811,0.00041026,0.00081818,2.000
1815,0.00040117,0.00082599,2.000
1819,0.00039164,0.00083324,2.000
1823,0.00038185,0.00084013,2.000
1827,0.00037190,0.00084681,2.000
1831,0.00036158,0.00085288,2.000
1835,0.00035108,0.00085863,2.000
1839,0.00034037,0.00086399,2.000
1843,0.00032967,0.00086880,2.000
1847,0.00031926,0.00087316,2.000
1851,0.00031669,0.00087414,2.000
1855,0.00031669,0.00087414,2.000
1859,0.00031669,0.00087414,2.000
1863,0.00031669,0.00087414,2.000
1867,0.00031669,0.00087414,2.000
1871,0.00031669,0.00087414,2.000
1875,0.00031669,0.00087414,2.000
1879,0.00031669,0.00087414,2.000
1883,0.00031669,0.00087414,2.000
1887,0.00031669,0.00087414,2.000
1891,0.00031669,0.00087414,2.000
1895,0.00031103,0.00087609,2.000
1899,0.00029967,0.00087990,2.000
1903,0.00028814,0.00088313,2.000
1907,0.00027653,0.00088606,2.000
1911,0.00026480,0.00088850,2.000
1915,0.00025297,0.00089033,2.000
1919,0.00024111,0.00089197,2.000
1923,0.00022936,0.00089289,2.000
1927,0.00021785,0.00089338,2.000
1931,0.00020657,0.00089361,2.000
1935,0.00019552,0.00089350,2.000
1939,0.00018471,0.00089342,2.000
1943,0.00017413,0.00089334,2.000
1947,0.00016378,0.00089334,2.000
1951,0.00015364,0.00089334,2.000
1955,0.00014373,0.00089334,2.000
1959,0.00013402,0.00089334,2.000
1963,0.00012451,0.00089334,2.000
1967,0.00011521,0.00089330,2.000
1971,0.00010611,0.00089327,2.000
1975,0.00009720,0.00089324,2.000
1979,0.00008848,0.00089321,2.000
1983,0.00007995,0.00089316,2.000
1987,0.00007160,0.00089310,2.000
1991,0.00006342,0.00089305,2.000
1995,0.00005542,0.00089300,2.000
1999,0.00004759,0.00089294,2.000
2003,0.00003993,0.00089289,2.000
2007,0.00002795,0.00089281,2.000
2011,0.00001597,0.00089267,2.000
2015,0.00000400,0.00089253,2.000
2019,-0.00000798,0.00089239,2.000
2023,-0.00001993,0.00089162,2.000
2027,-0.00003171,0.00088948,2.000
2031,-0.00004312,0.00088586,2.000
2035,-0.00005403,0.00088094,2.000
2039,-0.00006441,0.00087496,2.000
2043,-0.00007392,0.00086770,2.000
2047,-0.00008259,0.00085945,2.000
2051,-0.00009033,0.00085032,2.000
2055,-0.00009711,0.00084045,2.000
2059,-0.00010311,0.00083008,2.000
2063,-0.00010834,0.00081932,2.000
2067,-0.00011267,0.00080815,2.000
2071,-0.00011603,0.00079666,2.000
2075,-0.00011834,0.00078491,2.000
2079,-0.00011995,0.00077304,2.000
2083,-0.00012041,0.00076108,2.000
2087,-0.00012049,0.00074910,2.000
2091,-0.00012327,0.00073757,2.000
2095,-0.00012700,0.00072618,2.000
2099,-0.00013072,0.00071480,2.000
2103,-0.00013444,0.00070341,2.000
2107,-0.00013817,0.00069203,2.000
2111,-0.00014189,0.00068065,2.000
2115,-0.00014561,0.00066926,2.000
2119,-0.00014934,0.00065788,2.000
2123,-0.00015121,0.00064620,2.000
2127,-0.00015132,0.00063422,2.000
2131,-0.00015142,0.00062224,2.000
2135,-0.00015152,0.00061027,2.000
2139,-0.00015152,0.00059829,2.000
2143,-0.00015149,0.00058631,2.000
2147,-0.00015147,0.00057433,2.000
2151,-0.00015144,0.00056235,2.000
2155,-0.00015140,0.00055038,2.000
2159,-0.00015137,0.00053840,2.000
2163,-0.00015134,0.00052642,2.000
2167,-0.00015130,0.00051444,2.000
2171,-0.00015127,0.00050247,2.000
2175,-0.00015124,0.00049049,2.000
2179,-0.00015120,0.00047851,2.000
2183,-0.00015117,0.00046653,2.000
2187,-0.00015114,0.00045456,2.000
2191,-0.00015110,0.00044258,2.000
2195,-0.00015107,0.00043060,2.000
